entry_name,platform1,platform2,jaccard_similarity,file_count1,file_count2,intersection,union
gstreamer1.0-gl,rhel_8,ubuntu_focal,0.0,440,7,0,447
gstreamer1.0-gl,rhel_8,ubuntu_jammy,0.0,440,3,0,443
gstreamer1.0-gl,rhel_8,ubuntu_noble,0.0,440,3,0,443
gstreamer1.0-gl,rhel_9,ubuntu_focal,0.0,266,7,0,273
gstreamer1.0-gl,rhel_9,ubuntu_jammy,0.0,266,3,0,269
gstreamer1.0-gl,rhel_9,ubuntu_noble,0.0,266,3,0,269
gstreamer1.0-libav,arch,debian_bookworm,0.0,1,4,0,5
gstreamer1.0-libav,arch,opensuse_15.2,0.0,1,2,0,3
gstreamer1.0-libav,arch,ubuntu_focal,0.0,1,8,0,9
gstreamer1.0-libav,arch,ubuntu_jammy,0.0,1,3,0,4
gstreamer1.0-libav,arch,ubuntu_noble,0.0,1,3,0,4
gstreamer1.0-libav,debian_bookworm,opensuse_15.2,0.0,4,2,0,6
gstreamer1.0-libav,opensuse_15.2,ubuntu_focal,0.0,2,8,0,10
gstreamer1.0-libav,opensuse_15.2,ubuntu_jammy,0.0,2,3,0,5
gstreamer1.0-libav,opensuse_15.2,ubuntu_noble,0.0,2,3,0,5
gstreamer1.0-plugins-bad,arch,debian_bookworm,0.0,65,193,0,258
gstreamer1.0-plugins-bad,arch,opensuse_15.2,0.0,65,111,0,176
gstreamer1.0-plugins-bad,arch,ubuntu_focal,0.0,65,174,0,239
gstreamer1.0-plugins-bad,arch,ubuntu_jammy,0.0,65,183,0,248
gstreamer1.0-plugins-bad,arch,ubuntu_noble,0.0,65,197,0,262
gstreamer1.0-plugins-ugly,arch,opensuse_15.2,0.0,55,9,0,64
gstreamer1.0-plugins-ugly,debian_bookworm,opensuse_15.2,0.0,62,9,0,71
gstreamer1.0-plugins-ugly,fedora_42,opensuse_15.2,0.0,12,9,0,21
gstreamer1.0-plugins-ugly,fedora_43,opensuse_15.2,0.0,12,9,0,21
gstreamer1.0-plugins-ugly,opensuse_15.2,ubuntu_focal,0.0,9,64,0,73
gstreamer1.0-plugins-ugly,opensuse_15.2,ubuntu_jammy,0.0,9,61,0,70
gstreamer1.0-plugins-ugly,opensuse_15.2,ubuntu_noble,0.0,9,58,0,67
gstreamer1.0-x,arch,debian_bookworm,0.0,223,6,0,229
gstreamer1.0-x,arch,fedora_42,0.0,223,282,0,505
gstreamer1.0-x,arch,fedora_43,0.0,223,282,0,505
gstreamer1.0-x,arch,ubuntu_focal,0.0,223,9,0,232
gstreamer1.0-x,arch,ubuntu_jammy,0.0,223,5,0,228
gstreamer1.0-x,arch,ubuntu_noble,0.0,223,5,0,228
gstreamer1.0-x,debian_bookworm,fedora_42,0.0,6,282,0,288
