repo_name,repo_owner,title,pr_url,comments_count,state,author,created_at,closed_at,labels
rosdistro,ros,add python-backoff,https://github.com/ros/rosdistro/pull/20586,2,merged,tprasadtp,2019-03-17T15:57:52Z,2019-04-03T08:47:02Z,rosdep
rosdistro,ros,Added python-imageio,https://github.com/ros/rosdistro/pull/20492,3,merged,peci1,2019-03-07T00:48:08Z,2019-03-08T19:41:31Z,rosdep
rosdistro,ros,[dep] Add imgaug-pip.,https://github.com/ros/rosdistro/pull/20491,1,merged,130s,2019-03-07T00:16:38Z,2019-03-07T21:19:34Z,rosdep
rosdistro,ros,Ffmpeg or libav,https://github.com/ros/rosdistro/pull/20475,1,closed_without_merge,peci1,2019-03-05T23:45:47Z,2019-03-06T08:57:20Z,rosdep
rosdistro,ros,add python-pulsectl-pip,https://github.com/ros/rosdistro/pull/20466,1,merged,fmessmer,2019-03-05T17:07:18Z,2019-03-05T21:22:41Z,rosdep
rosdistro,ros,Add libclang-dev,https://github.com/ros/rosdistro/pull/20461,2,merged,gavanderhoorn,2019-03-05T09:33:19Z,2019-03-05T20:59:31Z,rosdep
rosdistro,ros,add python-webrtcvad-pip,https://github.com/ros/rosdistro/pull/20438,1,merged,benmaidel,2019-03-04T14:46:12Z,2019-03-04T19:58:51Z,rosdep
rosdistro,ros,Add 'cccc' key.,https://github.com/ros/rosdistro/pull/20426,4,merged,gavanderhoorn,2019-03-03T18:28:41Z,2019-03-04T21:14:57Z,rosdep
rosdistro,ros,rosdep: add websocketpp,https://github.com/ros/rosdistro/pull/20339,3,merged,vzts,2019-02-19T08:40:29Z,2019-02-21T23:30:36Z,rosdep
rosdistro,ros,Condense python-imaging rules for Fedora,https://github.com/ros/rosdistro/pull/20298,8,merged,cottsay,2019-02-13T18:30:03Z,2019-02-22T01:51:54Z,rosdep
rosdistro,ros,Add speech-dispatcher,https://github.com/ros/rosdistro/pull/20099,1,merged,tfoote,2019-01-28T23:49:12Z,2019-01-29T00:41:58Z,rosdep
rosdistro,ros,Add python-geocoder-pip,https://github.com/ros/rosdistro/pull/20002,8,merged,Timple,2019-01-21T14:18:52Z,2019-02-26T13:43:48Z,rosdep
rosdistro,ros,Some frameworks for django,https://github.com/ros/rosdistro/pull/19994,0,merged,Vuwij,2019-01-21T06:15:27Z,2019-01-22T22:52:58Z,rosdep
rosdistro,ros,Add ninja-build rosdep key,https://github.com/ros/rosdistro/pull/19976,0,merged,roehling,2019-01-17T11:34:53Z,2019-01-17T22:42:35Z,rosdep
rosdistro,ros,add libopencv-contrib-dev to rosdep,https://github.com/ros/rosdistro/pull/19965,3,merged,samuelba,2019-01-16T14:10:28Z,2019-01-17T22:40:52Z,rosdep
rosdistro,ros,rosdep: add golang-1.10-go specific rule,https://github.com/ros/rosdistro/pull/19950,5,closed_without_merge,Vuwij,2019-01-15T11:11:06Z,2019-01-17T00:14:19Z,rosdep
rosdistro,ros,Added numpy-quaternion to python.yaml ,https://github.com/ros/rosdistro/pull/19944,2,merged,tgaspar,2019-01-15T10:19:10Z,2019-01-17T22:45:49Z,rosdep
rosdistro,ros,Added pip packages: breathe and exhale,https://github.com/ros/rosdistro/pull/19914,3,merged,veimox,2019-01-10T10:59:35Z,2019-01-17T22:48:41Z,rosdep
rosdistro,ros,Add pystemd,https://github.com/ros/rosdistro/pull/27852,5,merged,Timple,2020-12-28T13:59:24Z,2021-02-06T03:07:28Z,rosdep
rosdistro,ros,rosdep: update OpenEmbedded mapping for python*-websocket and add python-pyudev,https://github.com/ros/rosdistro/pull/27826,2,merged,shr-project,2020-12-22T17:10:24Z,2021-01-13T14:13:01Z,rosdep
rosdistro,ros,Add rosdep rules for python3-websockets package,https://github.com/ros/rosdistro/pull/27819,0,merged,Goldob,2020-12-20T11:46:27Z,2020-12-30T22:15:32Z,rosdep
rosdistro,ros,Adding fcl key to solve issues with version 0.6,https://github.com/ros/rosdistro/pull/27789,10,closed_without_merge,marcoag,2020-12-17T10:57:10Z,2021-01-15T18:48:27Z,rosdep
rosdistro,ros,Add pathlib2 to python yaml,https://github.com/ros/rosdistro/pull/27782,3,merged,tsaoyu,2020-12-17T02:43:18Z,2021-01-20T17:51:47Z,rosdep
rosdistro,ros,[dep] Add python3-sh,https://github.com/ros/rosdistro/pull/27780,0,merged,130s,2020-12-16T11:13:05Z,2020-12-17T18:43:13Z,rosdep
rosdistro,ros,Added python3-git,https://github.com/ros/rosdistro/pull/27776,3,closed_without_merge,StefanFabian,2020-12-16T09:40:40Z,2020-12-17T19:44:16Z,rosdep
