entry_key,type,entry,missing_type,platform,version,package_name,expected_package,detected_package,os_platform,os_version,os_package,current_manager,suggested_platform,suggested_version,suggested_package,description,status
avr-libc,A.2,avr-libc,platform,opensuse,15.2,,,,,,,,,,avr-libc,Entry 'avr-libc' missing version '15.2' for platform 'opensuse'; suggested package: 'avr-libc',ok
avr-libc,A.2,avr-libc,platform,rhel,8,,,,,,,,,,arm-none-eabi-newlib,Entry 'avr-libc' missing version '8' for platform 'rhel'; suggested package: 'arm-none-eabi-newlib',ok
avr-libc,A.2,avr-libc,platform,rhel,9,,,,,,,,,,arm-none-eabi-newlib,Entry 'avr-libc' missing version '9' for platform 'rhel'; suggested package: 'arm-none-eabi-newlib',ok
avrdude,A.2,avrdude,platform,alpine,edge,,,,,,,,,,avrdude,Entry 'avrdude' missing version 'edge' for platform 'alpine'; suggested package: 'avrdude',ok
avrdude,A.2,avrdude,platform,opensuse,15.2,,,,,,,,,,avrdude,Entry 'avrdude' missing version '15.2' for platform 'opensuse'; suggested package: 'avrdude',ok
avrdude,A.2,avrdude,platform,rhel,8,,,,,,,,,,avrdude,Entry 'avrdude' missing version '8' for platform 'rhel'; suggested package: 'avrdude',ok
avrdude,A.2,avrdude,platform,rhel,9,,,,,,,,,,avrdude,Entry 'avrdude' missing version '9' for platform 'rhel'; suggested package: 'avrdude',ok
awscli,A.2,awscli,platform,alpine,edge,,,,,,,,,,aws-cli,Entry 'awscli' missing version 'edge' for platform 'alpine'; suggested package: 'aws-cli',ok
awscli,A.2,awscli,platform,opensuse,15.2,,,,,,,,,,aws-cli,Entry 'awscli' missing version '15.2' for platform 'opensuse'; suggested package: 'aws-cli',ok
awscli,B.1a,awscli,,fedora,41,awscli,,awscli2,,,,,,,,Package 'awscli' not found in fedora 41; detected existing package: 'awscli2',ok
awscli,B.1a,awscli,,fedora,42,awscli,,awscli2,,,,,,,,Package 'awscli' not found in fedora 42; detected existing package: 'awscli2',ok
awscli,B.1a,awscli,,ubuntu,noble,awscli,,,,,,,,,,Package 'awscli' not found in ubuntu noble,ok
awscli,B.1b,awscli,,arch,,aws-cli,aws-cli-v2,,,,,,,,,Package 'aws-cli' differs from expected 'aws-cli-v2' in arch ,ok
awsiotpythonsdk-pip,A.2,awsiotpythonsdk-pip,platform,nixos,unstable,,,,,,,,,,python313Packages.awsiotpythonsdk,Entry 'awsiotpythonsdk-pip' missing version 'unstable' for platform 'nixos'; suggested package: 'python313Packages.awsiotpythonsdk',ok
awsiotpythonsdk-pip,A.2,awsiotpythonsdk-pip,platform,rhel,8,,,,,,,,,,python3-AWSIoTPythonSDK,Entry 'awsiotpythonsdk-pip' missing version '8' for platform 'rhel'; suggested package: 'python3-AWSIoTPythonSDK',ok
awsiotpythonsdk-pip,B.2,awsiotpythonsdk-pip,,,,,,,,,,pip,fedora,41,python3-AWSIoTPythonSDK,Entry 'awsiotpythonsdk-pip' using pip but package 'python3-AWSIoTPythonSDK' available in fedora 41,ok
azure-core-pip,A.2,azure-core-pip,platform,arch,,,,,,,,,,,azure-cli,Entry 'azure-core-pip' missing version '' for platform 'arch'; suggested package: 'azure-cli',ok
azure-core-pip,A.2,azure-core-pip,platform,opensuse,15.2,,,,,,,,,,python2-azure-core,Entry 'azure-core-pip' missing version '15.2' for platform 'opensuse'; suggested package: 'python2-azure-core',ok
